"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"1",1,"Josh Allen",BUF,"7","Coach Upside rating","Coach Bust rating","4 out of 5 stars","0"
"2",1,"Lamar Jackson",BAL,"7","Coach Upside rating","Coach Bust rating","4 out of 5 stars","0"
"3",1,"Jayden Daniels",WAS,"12","Coach Upside rating","Coach Bust rating","3 out of 5 stars","0"
"4",1,"Jalen Hurts",PHI,"9","Coach Upside rating","Coach Bust rating","4 out of 5 stars","0"
"5",2,"Joe Burrow",CIN,"10","Coach Upside rating","Coach Bust rating","3 out of 5 stars","0"
"6",2,"Patrick Mahomes II",KC,"10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","0"
"7",2,"Bo Nix",DEN,"12","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+1"
"8",2,"Baker Mayfield",TB,"9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-1"
"9",3,"Kyler Murray",ARI,"8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","0"
"10",3,"Dak Prescott",DAL,"10","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+1"
"11",3,"Brock Purdy",SF,"14","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-1"
"12",3,"Justin Fields",NYJ,"9","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+1"
"13",3,"Drake Maye",NE,"14","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+3"
"14",3,"Caleb Williams",CHI,"5","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+1"
"15",3,"Justin Herbert",LAC,"12","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-1"
"16",3,"Jared Goff",DET,"8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-4"
"17",3,"Jordan Love",GB,"5","Coach Upside rating","Coach Bust rating","5 out of 5 stars","0"
"18",4,"Trevor Lawrence",JAC,"8","Coach Upside rating","Coach Bust rating","1 out of 5 stars","+2"
"19",4,"C.J. Stroud",HOU,"6","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-1"
"20",4,"J.J. McCarthy",MIN,"6","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-1"
"21",4,"Tua Tagovailoa",MIA,"12","Coach Upside rating","Coach Bust rating","4 out of 5 stars","0"
"22",4,"Bryce Young",CAR,"14","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+3"
"23",4,"Michael Penix Jr.",ATL,"5","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+1"
"24",4,"Geno Smith",LV,"8","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+2"
"25",4,"Matthew Stafford",LAR,"8","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-2"
"26",4,"Cam Ward",TEN,"10","Coach Upside rating","Coach Bust rating","0 out of 5 stars","-4"
"27",4,"Sam Darnold",SEA,"8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","0"
"28",4,"Aaron Rodgers",PIT,"5","Coach Upside rating","Coach Bust rating","4 out of 5 stars","0"
"29",5,"Daniel Jones",IND,"11","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+2"
"30",5,"Russell Wilson",NYG,"14","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-1"
"31",5,"Joe Flacco",CIN,"10","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+3"
"32",5,"Anthony Richardson Sr.",IND,"11","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-2"
"33",5,"Jaxson Dart",NYG,"14","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-1"
"34",5,"Tyler Shough",NO,"11","Coach Upside rating","Coach Bust rating","5 out of 5 stars","+2"
"35",5,"Spencer Rattler",NO,"11","Coach Upside rating","Coach Bust rating","5 out of 5 stars","+3"
"36",5,"Shedeur Sanders",CLE,"9","Coach Upside rating","Coach Bust rating","5 out of 5 stars","-3"
"37",6,"Jalen Milroe",SEA,"8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","0"
"38",6,"Dillon Gabriel",CLE,"9","Coach Upside rating","Coach Bust rating","5 out of 5 stars","+11"
"39",6,"Kirk Cousins",ATL,"5","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-4"
"40",6,"Jimmy Garoppolo",LAR,"8","Coach Upside rating","Coach Bust rating","2 out of 5 stars","0"
"41",6,"Jameis Winston",NYG,"14","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-2"
"42",6,"Tyrod Taylor",NYJ,"9","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+35"
"43",6,"Joe Milton III",DAL,"10","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+2"
"44",6,"Kenny Pickett",LV,"8","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+6"
