"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"1",1,"Brock Bowers",LV,"8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","0"
"2",1,"George Kittle",SF,"14","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+1"
"3",1,"Trey McBride",ARI,"8","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-1"
"4",2,"Sam LaPorta",DET,"8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","0"
"5",2,"Mark Andrews",BAL,"7","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+2"
"6",2,"T.J. Hockenson",MIN,"6","Coach Upside rating","Coach Bust rating","3 out of 5 stars","0"
"7",2,"Travis Kelce",KC,"10","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-2"
"8",2,"David Njoku",CLE,"9","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+2"
"9",2,"Tucker Kraft",GB,"5","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+2"
"10",2,"Tyler Warren",IND,"11","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-1"
"11",3,"Evan Engram",DEN,"12","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-3"
"12",3,"Kyle Pitts Sr.",ATL,"5","Coach Upside rating","Coach Bust rating","5 out of 5 stars","+5"
"13",3,"Dallas Goedert",PHI,"9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+3"
"14",3,"Dalton Kincaid",BUF,"7","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-1"
"15",3,"Colston Loveland",CHI,"5","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-3"
"16",3,"Jake Ferguson",DAL,"10","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-1"
"17",4,"Hunter Henry",NE,"14","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+2"
"18",4,"Zach Ertz",WAS,"12","Coach Upside rating","Coach Bust rating","2 out of 5 stars","0"
"19",4,"Jonnu Smith",PIT,"5","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-5"
"20",4,"Isaiah Likely",BAL,"7","Coach Upside rating","Coach Bust rating","3 out of 5 stars","0"
"21",4,"Brenton Strange",JAC,"8","Coach Upside rating","Coach Bust rating","4 out of 5 stars","0"
"22",4,"Chig Okonkwo",TEN,"10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+3"
"23",4,"Cade Otton",TB,"9","Coach Upside rating","Coach Bust rating","1 out of 5 stars","0"
"24",4,"Mike Gesicki",CIN,"10","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+2"
"25",4,"Mason Taylor",NYJ,"9","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-3"
"26",4,"Pat Freiermuth",PIT,"5","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+1"
"27",5,"Juwan Johnson",NO,"11","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+6"
"28",5,"Dalton Schultz",HOU,"6","Coach Upside rating","Coach Bust rating","4 out of 5 stars","0"
"29",5,"Elijah Arroyo",SEA,"8","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+1"
"30",5,"Ja'Tavion Sanders",CAR,"14","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-1"
"31",5,"Harold Fannin Jr.",CLE,"9","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+3"
"32",5,"Theo Johnson",NYG,"14","Coach Upside rating","Coach Bust rating","3 out of 5 stars","0"
"33",5,"Cole Kmet",CHI,"5","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+2"
"34",5,"Noah Gray",KC,"10","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+3"
"35",5,"Darren Waller",MIA,"12","Coach Upside rating","Coach Bust rating","5 out of 5 stars","-11"
"36",6,"Noah Fant",CIN,"10","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+4"
"37",6,"Terrance Ferguson",LAR,"8","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-6"
"38",6,"Taysom Hill",NO,"11","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+1"
"39",6,"Tyler Higbee",LAR,"8","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-1"
"40",6,"Oronde Gadsden II",LAC,"12","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+1"
"41",6,"Will Dissly",LAC,"12","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-"
"42",6,"Tyler Conklin",LAC,"12","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-6"
"43",6,"Ben Sinnott",WAS,"12","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-1"
"44",6,"Dawson Knox",BUF,"7","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-"
"45",6,"AJ Barner",SEA,"8","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-"
"46",6,"Michael Mayer",LV,"8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-"
"47",6,"Luke Musgrave",GB,"5","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-"
"48",6,"Gunnar Helm",TEN,"10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-"
"49",6,"Austin Hooper",NE,"14","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-"
"50",7,"Cade Stover",HOU,"6","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-"
"51",7,"Tommy Tremble",CAR,"14","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-"
"52",7,"Foster Moreau",NO,"11","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-"
"53",7,"Luke Schoonmaker",DAL,"10","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-"
"54",7,"Josh Oliver",MIN,"6","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-"
"55",7,"Grant Calcaterra",PHI,"9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-"
"56",7,"Darnell Washington",PIT,"5","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-"
"57",7,"Elijah Higgins",ARI,"8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"58",7,"Mitchell Evans",CAR,"14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"59",7,"Stone Smartt",NYJ,"9","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"60",7,"Jeremy Ruckert",NYJ,"9","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-"
"61",7,"Colby Parkinson",LAR,"8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"62",7,"Julian Hill",MIA,"12","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","-"
"63",7,"Brock Wright",DET,"8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"64",7,"Adam Trautman",DEN,"12","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"65",8,"Daniel Bellinger",NYG,"14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"66",8,"Greg Dulcich",MIA,"12","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","-"
"67",8,"Johnny Mundt",JAC,"8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"68",8,"John Bates",WAS,"12","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"69",8,"Payne Durham",TB,"9","Coach Upside rating–No rating available","Coach Bust rating–No rating available","1 out of 5 stars","-"
"70",8,"Tanner Hudson",CIN,"10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"71",8,"Kylen Granson",PHI,"9","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"72",8,"Hunter Long",JAC,"8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"73",8,"Drew Sample",CIN,"10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"74",8,"Charlie Kolar",BAL,"7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"75",8,"Luke Farrell",SF,"14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"76",8,"Jared Wiley",KC,"10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
